  0.145268E-02  0.409683E+06  0.409533E+06  0.457328E+06  0.452463E+06  0.395331E+06  0.409384E+06
  0.160515E-02  0.409171E+06  0.408988E+06  0.438953E+06  0.433290E+06  0.389501E+06  0.408764E+06
  0.177362E-02  0.408550E+06  0.408327E+06  0.417418E+06  0.410899E+06  0.382544E+06  0.408015E+06
  0.195977E-02  0.407801E+06  0.407528E+06  0.392416E+06  0.385016E+06  0.374282E+06  0.407112E+06
  0.216547E-02  0.406896E+06  0.406564E+06  0.363726E+06  0.355471E+06  0.364532E+06  0.406028E+06
  0.239275E-02  0.405808E+06  0.405403E+06  0.331278E+06  0.322273E+06  0.353111E+06  0.404729E+06
  0.264388E-02  0.404503E+06  0.404010E+06  0.295242E+06  0.285695E+06  0.339857E+06  0.403180E+06
  0.292137E-02  0.402944E+06  0.402343E+06  0.256129E+06  0.246378E+06  0.324646E+06  0.401341E+06
  0.322799E-02  0.401089E+06  0.400356E+06  0.214898E+06  0.205421E+06  0.307428E+06  0.399169E+06
  0.356679E-02  0.398892E+06  0.398001E+06  0.173039E+06  0.164434E+06  0.288261E+06  0.396621E+06
  0.394115E-02  0.396308E+06  0.395223E+06  0.132584E+06  0.125501E+06  0.267354E+06  0.393653E+06
  0.435480E-02  0.393286E+06  0.391967E+06  0.959860E+05  0.909850E+05  0.245104E+06  0.390226E+06
  0.481187E-02  0.389780E+06  0.388179E+06  0.657827E+05  0.631182E+05  0.222118E+06  0.386302E+06
  0.531691E-02  0.385747E+06  0.383804E+06  0.440111E+05  0.433836E+05  0.199193E+06  0.381854E+06
  0.587495E-02  0.381149E+06  0.378794E+06  0.314242E+05  0.318188E+05  0.177242E+06  0.376860E+06
  0.649157E-02  0.375954E+06  0.373103E+06  0.267705E+05  0.265856E+05  0.157149E+06  0.371306E+06
  0.717291E-02  0.370138E+06  0.366694E+06  0.266374E+05  0.243010E+05  0.139556E+06  0.365177E+06
  0.792575E-02  0.363683E+06  0.359528E+06  0.264469E+05  0.214737E+05  0.124657E+06  0.358457E+06
  0.875761E-02  0.356617E+06  0.351615E+06  0.227507E+05  0.166267E+05  0.113831E+06  0.351197E+06
  0.967679E-02  0.348844E+06  0.342839E+06  0.156942E+05  0.114092E+05  0.102538E+06  0.343213E+06
  0.106924E-01  0.340375E+06  0.333186E+06  0.920612E+04  0.885293E+04  0.916774E+05  0.334529E+06
  0.118147E-01  0.331191E+06  0.322614E+06  0.707005E+04  0.000000E+00  0.802283E+05  0.325102E+06
  0.130547E-01  0.321248E+06  0.311058E+06  0.795809E+04  0.000000E+00  0.694518E+05  0.314913E+06
  0.144249E-01  0.310526E+06  0.298480E+06  0.694820E+04  0.000000E+00  0.595583E+05  0.303942E+06
  0.159389E-01  0.299010E+06  0.284856E+06  0.379656E+04  0.000000E+00  0.507004E+05  0.292177E+06
  0.176118E-01  0.286655E+06  0.270144E+06  0.305075E+04  0.000000E+00  0.430263E+05  0.279576E+06
  0.194602E-01  0.273539E+06  0.254447E+06  0.333321E+04  0.000000E+00  0.364636E+05  0.266219E+06
  0.215027E-01  0.259675E+06  0.237836E+06  0.175954E+04  0.000000E+00  0.301070E+05  0.252108E+06
  0.237596E-01  0.245083E+06  0.220427E+06  0.173318E+04  0.000000E+00  0.244305E+05  0.237287E+06
  0.262533E-01  0.229880E+06  0.202487E+06  0.119699E+04  0.000000E+00  0.201302E+05  0.221904E+06
  0.290088E-01  0.214257E+06  0.184418E+06  0.991745E+03  0.000000E+00  0.161403E+05  0.206158E+06
  0.320535E-01  0.198445E+06  0.166720E+06  0.622144E+03  0.000000E+00  0.129197E+05  0.190321E+06
