
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 20, Time: 0.0205353, Redshift: 47.6968, Nf = 0134217728, Systemstep: 0.000725682, Dloga: 0.0359779

Begin Step 21, Time: 0.0212875, Redshift: 45.9759, Nf = 0069993046, Systemstep: 0.000752266, Dloga: 0.0359779

Begin Step 22, Time: 0.0220673, Redshift: 44.3158, Nf = 0134217728, Systemstep: 0.000779824, Dloga: 0.0359779

Begin Step 23, Time: 0.0228757, Redshift: 42.7144, Nf = 0073821474, Systemstep: 0.000808391, Dloga: 0.0359779

Begin Step 24, Time: 0.0237137, Redshift: 41.1697, Nf = 0134217728, Systemstep: 0.000838005, Dloga: 0.0359779

Begin Step 25, Time: 0.0241442, Redshift: 40.4178, Nf = 0000000199, Systemstep: 0.000430445, Dloga: 0.0179889

Begin Step 26, Time: 0.0245824, Redshift: 39.6794, Nf = 0080522091, Systemstep: 0.000438258, Dloga: 0.0179889

Begin Step 27, Time: 0.0250287, Redshift: 38.9542, Nf = 0000000222, Systemstep: 0.000446214, Dloga: 0.0179889

Begin Step 28, Time: 0.025483, Redshift: 38.2419, Nf = 0134217728, Systemstep: 0.000454313, Dloga: 0.0179889

Begin Step 29, Time: 0.0259455, Redshift: 37.5423, Nf = 0000002194, Systemstep: 0.00046256, Dloga: 0.0179889

Begin Step 30, Time: 0.0264165, Redshift: 36.8552, Nf = 0087635459, Systemstep: 0.000470956, Dloga: 0.0179889

Begin Step 31, Time: 0.026896, Redshift: 36.1803, Nf = 0000002345, Systemstep: 0.000479505, Dloga: 0.0179889

Begin Step 32, Time: 0.0273842, Redshift: 35.5174, Nf = 0134217728, Systemstep: 0.000488208, Dloga: 0.0179889

Begin Step 33, Time: 0.0278813, Redshift: 34.8664, Nf = 0000012232, Systemstep: 0.00049707, Dloga: 0.0179889

Begin Step 34, Time: 0.0283874, Redshift: 34.2269, Nf = 0093947324, Systemstep: 0.000506093, Dloga: 0.0179889

Begin Step 35, Time: 0.0289026, Redshift: 33.5989, Nf = 0000012751, Systemstep: 0.000515279, Dloga: 0.0179889

Begin Step 36, Time: 0.0294273, Redshift: 32.9821, Nf = 0134217728, Systemstep: 0.000524633, Dloga: 0.0179889

Begin Step 37, Time: 0.0299614, Redshift: 32.3762, Nf = 0000053048, Systemstep: 0.000534156, Dloga: 0.0179889

Begin Step 38, Time: 0.0305053, Redshift: 31.7812, Nf = 0100750024, Systemstep: 0.000543851, Dloga: 0.0179889

Begin Step 39, Time: 0.031059, Redshift: 31.1968, Nf = 0000054674, Systemstep: 0.000553723, Dloga: 0.0179889

Begin Step 40, Time: 0.0316228, Redshift: 30.6228, Nf = 0134217728, Systemstep: 0.000563774, Dloga: 0.0179889

Begin Step 41, Time: 0.0321968, Redshift: 30.059, Nf = 0000148115, Systemstep: 0.000574008, Dloga: 0.0179889

